threshold,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,estimated_cost
0.3,0.11466666666666667,0.11466666666666667,1.0,0.20574162679425836,0,664,0,86,332000
0.4,0.11466666666666667,0.11466666666666667,1.0,0.20574162679425836,0,664,0,86,332000
0.5,0.596,0.0996309963099631,0.313953488372093,0.15126050420168066,420,244,59,27,712000
0.6,0.8853333333333333,0.0,0.0,0.0,664,0,86,0,860000
0.7,0.8853333333333333,0.0,0.0,0.0,664,0,86,0,860000
0.8,0.8853333333333333,0.0,0.0,0.0,664,0,86,0,860000
0.9,0.8853333333333333,0.0,0.0,0.0,664,0,86,0,860000
